model,param_set,perturbation,cell_r2,cell_l2,cell_mmd,decoder_width,decoder_depth,attribute_nn_width,attribute_nn_depth,n_latent_attribute_categorical,reconstruction_penalty,unknown_attribute_penalty,unknown_attribute_noise_param,attribute_dropout_rate,gene_likelihood,use_batch_norm,use_layer_norm,seed
biolord,1,hesperadin,0.6492967297545925,1.5785284,0.40842558639956833,4096,4,2048,2,3,0.0,0.0,0.0,0.1,normal,False,False,42
biolord,2,hesperadin,0.8085149466631951,1.0915471,0.3849267779304747,4096,4,2048,2,3,0.0,0.0,0.05,0.1,normal,False,False,42
biolord,3,hesperadin,0.8259859208806828,1.0087026,0.35672281775983317,4096,4,2048,2,3,0.0,0.0,0.1,0.1,normal,False,False,42
biolord,4,hesperadin,0.6681743371085255,1.5693002,0.39917430087056194,4096,4,2048,2,3,0.0,0.0,0.2,0.1,normal,False,False,42
biolord,5,hesperadin,0.6497001780131606,1.8424844,0.28973874629347746,4096,4,2048,2,3,0.0,0.1,0.0,0.1,normal,False,False,42
biolord,6,hesperadin,0.5693793813348071,2.5346005,0.3733767106958308,4096,4,2048,2,3,0.0,0.1,0.05,0.1,normal,False,False,42
biolord,7,hesperadin,0.6724474465007473,2.519843,0.39026685614675494,4096,4,2048,2,3,0.0,0.1,0.1,0.1,normal,False,False,42
biolord,8,hesperadin,0.7256204339700829,2.44594,0.39052415697346843,4096,4,2048,2,3,0.0,0.1,0.2,0.1,normal,False,False,42
biolord,9,hesperadin,0.6810413976056435,2.2246554,0.3422712711272277,4096,4,2048,2,3,0.0,1.0,0.0,0.1,normal,False,False,42
biolord,10,hesperadin,0.7400573031616383,1.2269549,0.2960985269345406,4096,4,2048,2,3,0.0,1.0,0.05,0.1,normal,False,False,42
biolord,11,hesperadin,0.5400353446169455,2.1931098,0.3363152685975362,4096,4,2048,2,3,0.0,1.0,0.1,0.1,normal,False,False,42
biolord,12,hesperadin,0.6702666440604351,2.0374434,0.3658503172129869,4096,4,2048,2,3,0.0,1.0,0.2,0.1,normal,False,False,42
biolord,13,hesperadin,0.7100093460787928,1.4955642,0.3384055571467428,4096,4,2048,2,3,0.0,10.0,0.0,0.1,normal,False,False,42
biolord,14,hesperadin,0.686169105422309,1.413813,0.3228091687027832,4096,4,2048,2,3,0.0,10.0,0.05,0.1,normal,False,False,42
biolord,15,hesperadin,0.49776280057480604,3.3366375,0.46650982768604193,4096,4,2048,2,3,0.0,10.0,0.1,0.1,normal,False,False,42
biolord,16,hesperadin,0.6753266784045678,2.5463893,0.3831081500559867,4096,4,2048,2,3,0.0,10.0,0.2,0.1,normal,False,False,42
biolord,17,hesperadin,0.5715900677316611,2.3005545,0.30702504921845436,4096,4,2048,2,3,0.0,100.0,0.0,0.1,normal,False,False,42
biolord,18,hesperadin,0.6272085817450709,1.7004708,0.3147323914915205,4096,4,2048,2,3,0.0,100.0,0.05,0.1,normal,False,False,42
biolord,19,hesperadin,0.6694784243054901,2.2109902,0.4091573189687135,4096,4,2048,2,3,0.0,100.0,0.1,0.1,normal,False,False,42
biolord,20,hesperadin,0.725320512304468,2.4251347,0.3973130343845307,4096,4,2048,2,3,0.0,100.0,0.2,0.1,normal,False,False,42
biolord,21,hesperadin,0.8166458982254408,1.1686937,0.3797369639562792,4096,4,2048,2,3,0.1,0.0,0.0,0.1,normal,False,False,42
biolord,22,hesperadin,0.8552057112053449,1.1653243,0.3693463352345141,4096,4,2048,2,3,0.1,0.0,0.05,0.1,normal,False,False,42
biolord,23,hesperadin,0.6601487007472461,2.806099,0.411891834852663,4096,4,2048,2,3,0.1,0.0,0.1,0.1,normal,False,False,42
biolord,24,hesperadin,0.8359142280049456,1.380537,0.3799733062679443,4096,4,2048,2,3,0.1,0.0,0.2,0.1,normal,False,False,42
biolord,25,hesperadin,0.8192581171041152,1.9405173,0.41187446189301313,4096,4,2048,2,3,0.1,0.1,0.0,0.1,normal,False,False,42
biolord,26,hesperadin,0.5269197284428908,3.0619774,0.42806606870151265,4096,4,2048,2,3,0.1,0.1,0.05,0.1,normal,False,False,42
biolord,27,hesperadin,0.8428000632373317,1.0020776,0.30890141534742477,4096,4,2048,2,3,0.1,0.1,0.1,0.1,normal,False,False,42
biolord,28,hesperadin,0.7483912828142503,2.826777,0.42755338936250153,4096,4,2048,2,3,0.1,0.1,0.2,0.1,normal,False,False,42
biolord,29,hesperadin,0.7410968478550687,1.324055,0.3083846723449547,4096,4,2048,2,3,0.1,1.0,0.0,0.1,normal,False,False,42
biolord,30,hesperadin,0.6427805973674946,2.1314564,0.35210255667237794,4096,4,2048,2,3,0.1,1.0,0.05,0.1,normal,False,False,42
biolord,31,hesperadin,0.7370184529178248,1.3138553,0.26873781659073726,4096,4,2048,2,3,0.1,1.0,0.1,0.1,normal,False,False,42
biolord,32,hesperadin,0.7490842443331072,1.3825399,0.2684811156977666,4096,4,2048,2,3,0.1,1.0,0.2,0.1,normal,False,False,42
biolord,33,hesperadin,0.7547901712781914,1.4173627,0.2896828565374957,4096,4,2048,2,3,0.1,10.0,0.0,0.1,normal,False,False,42
biolord,34,hesperadin,0.7647952805415393,1.1847757,0.3206471939545335,4096,4,2048,2,3,0.1,10.0,0.05,0.1,normal,False,False,42
biolord,35,hesperadin,0.6171375585957983,2.0620863,0.33616465675660023,4096,4,2048,2,3,0.1,10.0,0.1,0.1,normal,False,False,42
biolord,36,hesperadin,0.8693011045681814,1.7073269,0.3272445718684541,4096,4,2048,2,3,0.1,10.0,0.2,0.1,normal,False,False,42
biolord,37,hesperadin,0.8150003867824815,1.0757097,0.29586293802378116,4096,4,2048,2,3,0.1,100.0,0.0,0.1,normal,False,False,42
biolord,38,hesperadin,0.80821782464298,1.4559224,0.3217081660535031,4096,4,2048,2,3,0.1,100.0,0.05,0.1,normal,False,False,42
biolord,39,hesperadin,0.5898284477021442,2.0424054,0.3528620312326604,4096,4,2048,2,3,0.1,100.0,0.1,0.1,normal,False,False,42
biolord,40,hesperadin,0.8715447008725238,0.9007517,0.329202093366756,4096,4,2048,2,3,0.1,100.0,0.2,0.1,normal,False,False,42
biolord,41,hesperadin,0.821978317068995,1.3492866,0.3849620108093593,4096,4,2048,2,3,1.0,0.0,0.0,0.1,normal,False,False,42
biolord,42,hesperadin,0.8606361223035697,0.99529725,0.28772098545924185,4096,4,2048,2,3,1.0,0.0,0.05,0.1,normal,False,False,42
biolord,43,hesperadin,0.8569932295661172,0.98681444,0.36596459238123913,4096,4,2048,2,3,1.0,0.0,0.1,0.1,normal,False,False,42
biolord,44,hesperadin,0.6628177580181388,2.731831,0.43203318943547886,4096,4,2048,2,3,1.0,0.0,0.2,0.1,normal,False,False,42
biolord,45,hesperadin,0.33943622259450296,2.7533584,0.30478595120385543,4096,4,2048,2,3,1.0,0.1,0.0,0.1,normal,False,False,42
biolord,46,hesperadin,0.8697909488996708,1.1274672,0.32525923797353457,4096,4,2048,2,3,1.0,0.1,0.05,0.1,normal,False,False,42
biolord,47,hesperadin,0.8688826578605433,0.90005076,0.297437923824489,4096,4,2048,2,3,1.0,0.1,0.1,0.1,normal,False,False,42
biolord,48,hesperadin,0.8631095949173593,1.0568844,0.28266480987626463,4096,4,2048,2,3,1.0,0.1,0.2,0.1,normal,False,False,42
biolord,49,hesperadin,0.7573044467569916,1.3031735,0.18118675118066854,4096,4,2048,2,3,1.0,1.0,0.0,0.1,normal,False,False,42
biolord,50,hesperadin,0.626013991915704,2.1224349,0.34596088880002523,4096,4,2048,2,3,1.0,1.0,0.05,0.1,normal,False,False,42
biolord,51,hesperadin,0.7444347334875172,1.4943429,0.26578769636168464,4096,4,2048,2,3,1.0,1.0,0.1,0.1,normal,False,False,42
biolord,52,hesperadin,0.857764554761137,1.0144429,0.33116666549737866,4096,4,2048,2,3,1.0,1.0,0.2,0.1,normal,False,False,42
biolord,53,hesperadin,0.7722960236934132,1.3281807,0.2682830648062638,4096,4,2048,2,3,1.0,10.0,0.0,0.1,normal,False,False,42
biolord,54,hesperadin,0.7965623952418684,1.2008507,0.16072568989829833,4096,4,2048,2,3,1.0,10.0,0.05,0.1,normal,False,False,42
biolord,55,hesperadin,0.82388397836466,1.0665454,0.22123109517821204,4096,4,2048,2,3,1.0,10.0,0.1,0.1,normal,False,False,42
biolord,56,hesperadin,0.6806080788459246,2.174689,0.3619869485922846,4096,4,2048,2,3,1.0,10.0,0.2,0.1,normal,False,False,42
biolord,57,hesperadin,0.8524858514199448,1.0099778,0.32284351119143634,4096,4,2048,2,3,1.0,100.0,0.0,0.1,normal,False,False,42
biolord,58,hesperadin,0.7198880590628702,1.6788938,0.21881872982269904,4096,4,2048,2,3,1.0,100.0,0.05,0.1,normal,False,False,42
biolord,59,hesperadin,0.8626957850502786,1.0274278,0.2795215718300199,4096,4,2048,2,3,1.0,100.0,0.1,0.1,normal,False,False,42
biolord,60,hesperadin,0.6869661841246264,1.9765522,0.36073863859727523,4096,4,2048,2,3,1.0,100.0,0.2,0.1,normal,False,False,42
biolord,61,hesperadin,0.5574379221645821,2.9277446,0.24432656045314552,4096,4,2048,2,3,10.0,0.0,0.0,0.1,normal,False,False,42
biolord,62,hesperadin,0.8201247116231011,2.8194706,0.26190028933974646,4096,4,2048,2,3,10.0,0.0,0.05,0.1,normal,False,False,42
biolord,63,hesperadin,0.8316876209704033,2.7347574,0.2395419452057075,4096,4,2048,2,3,10.0,0.0,0.1,0.1,normal,False,False,42
biolord,64,hesperadin,0.7850012295371108,2.367491,0.21559884244397545,4096,4,2048,2,3,10.0,0.0,0.2,0.1,normal,False,False,42
biolord,65,hesperadin,0.6671862957176862,2.9926825,0.23602507397416275,4096,4,2048,2,3,10.0,0.1,0.0,0.1,normal,False,False,42
biolord,66,hesperadin,0.6615259929777569,2.6889572,0.23366150248554585,4096,4,2048,2,3,10.0,0.1,0.05,0.1,normal,False,False,42
biolord,67,hesperadin,0.5651407766770734,2.5900762,0.2214436090224722,4096,4,2048,2,3,10.0,0.1,0.1,0.1,normal,False,False,42
biolord,68,hesperadin,0.7033028491892411,2.967868,0.2613890542137369,4096,4,2048,2,3,10.0,0.1,0.2,0.1,normal,False,False,42
biolord,69,hesperadin,0.752853243800972,2.3219242,0.19151778092566707,4096,4,2048,2,3,10.0,1.0,0.0,0.1,normal,False,False,42
biolord,70,hesperadin,0.756864470444704,2.5063837,0.2108499203655911,4096,4,2048,2,3,10.0,1.0,0.05,0.1,normal,False,False,42
biolord,71,hesperadin,0.7770816795717124,2.2040513,0.18015901735505685,4096,4,2048,2,3,10.0,1.0,0.1,0.1,normal,False,False,42
biolord,72,hesperadin,0.8117524613948182,2.7700224,0.25408417360279034,4096,4,2048,2,3,10.0,1.0,0.2,0.1,normal,False,False,42
biolord,73,hesperadin,0.7211950328387471,2.267102,0.18722409579920496,4096,4,2048,2,3,10.0,10.0,0.0,0.1,normal,False,False,42
biolord,74,hesperadin,0.7690545622730158,2.458705,0.2039365610163086,4096,4,2048,2,3,10.0,10.0,0.05,0.1,normal,False,False,42
biolord,75,hesperadin,0.8176855950693022,2.4908953,0.2129098590670115,4096,4,2048,2,3,10.0,10.0,0.1,0.1,normal,False,False,42
biolord,76,hesperadin,0.8346872831501184,2.815819,0.25241965799054467,4096,4,2048,2,3,10.0,10.0,0.2,0.1,normal,False,False,42
biolord,77,hesperadin,0.8578689631375687,2.5350738,0.22357758908295522,4096,4,2048,2,3,10.0,100.0,0.0,0.1,normal,False,False,42
biolord,78,hesperadin,0.7904174549706561,2.7186124,0.2323217239649364,4096,4,2048,2,3,10.0,100.0,0.05,0.1,normal,False,False,42
biolord,79,hesperadin,0.85497356630954,2.476454,0.2157724985975912,4096,4,2048,2,3,10.0,100.0,0.1,0.1,normal,False,False,42
biolord,80,hesperadin,0.8141811238370039,2.4994948,0.22808702466386904,4096,4,2048,2,3,10.0,100.0,0.2,0.1,normal,False,False,42
biolord,81,hesperadin,0.5102940439444579,2.9805622,0.08852313458082596,4096,4,2048,2,3,100.0,0.0,0.0,0.1,normal,False,False,42
biolord,82,hesperadin,0.5398567419251092,2.853313,0.08321934698897775,4096,4,2048,2,3,100.0,0.0,0.05,0.1,normal,False,False,42
biolord,83,hesperadin,0.5034994974877778,2.8927417,0.10301494362860562,4096,4,2048,2,3,100.0,0.0,0.1,0.1,normal,False,False,42
biolord,84,hesperadin,0.6068922901427114,2.7184095,0.12924763023708494,4096,4,2048,2,3,100.0,0.0,0.2,0.1,normal,False,False,42
biolord,85,hesperadin,0.35486545340885267,3.1514742,0.10526861136370994,4096,4,2048,2,3,100.0,0.1,0.0,0.1,normal,False,False,42
biolord,86,hesperadin,0.3596938320961669,3.122229,0.10037643097889876,4096,4,2048,2,3,100.0,0.1,0.05,0.1,normal,False,False,42
biolord,87,hesperadin,0.3961308617737019,3.0300658,0.11522910247867715,4096,4,2048,2,3,100.0,0.1,0.1,0.1,normal,False,False,42
biolord,88,hesperadin,0.5845417124782796,2.8982928,0.14284327763208296,4096,4,2048,2,3,100.0,0.1,0.2,0.1,normal,False,False,42
biolord,89,hesperadin,0.38257871497459517,3.0030246,0.08967871992428225,4096,4,2048,2,3,100.0,1.0,0.0,0.1,normal,False,False,42
biolord,90,hesperadin,0.3241861140332936,3.062097,0.08975204716220773,4096,4,2048,2,3,100.0,1.0,0.05,0.1,normal,False,False,42
biolord,91,hesperadin,0.4402071962707697,2.8263211,0.0873131919619887,4096,4,2048,2,3,100.0,1.0,0.1,0.1,normal,False,False,42
biolord,92,hesperadin,0.47681677193288324,2.845608,0.11741078184092146,4096,4,2048,2,3,100.0,1.0,0.2,0.1,normal,False,False,42
biolord,93,hesperadin,0.3409327585134652,3.0566556,0.08422315473273585,4096,4,2048,2,3,100.0,10.0,0.0,0.1,normal,False,False,42
biolord,94,hesperadin,0.4546652861348255,2.8859632,0.0879811459295826,4096,4,2048,2,3,100.0,10.0,0.05,0.1,normal,False,False,42
biolord,95,hesperadin,0.434894390202861,2.894067,0.09074471381110641,4096,4,2048,2,3,100.0,10.0,0.1,0.1,normal,False,False,42
biolord,96,hesperadin,0.5864412159734895,2.7702875,0.10566643635555238,4096,4,2048,2,3,100.0,10.0,0.2,0.1,normal,False,False,42
biolord,97,hesperadin,0.4177514256903683,2.9478521,0.08075045597222992,4096,4,2048,2,3,100.0,100.0,0.0,0.1,normal,False,False,42
biolord,98,hesperadin,0.4087398374345475,2.9017632,0.08156770155015643,4096,4,2048,2,3,100.0,100.0,0.05,0.1,normal,False,False,42
biolord,99,hesperadin,0.346889760769444,3.0225155,0.09050987835608612,4096,4,2048,2,3,100.0,100.0,0.1,0.1,normal,False,False,42
biolord,100,hesperadin,0.5091837657362709,2.8246133,0.11482728803509691,4096,4,2048,2,3,100.0,100.0,0.2,0.1,normal,False,False,42
